train_CrossEntropy(label),train_acc(label),eval_CrossEntropy(label),eval_acc(label)
1.394227004397228,0.3895131086142322,1.2741917108644907,0.4368755676657584
1.3001298576677114,0.43562734082397003,1.15862746318831,0.5004541326067211
1.2531490247654782,0.4624297752808989,1.2313806765952184,0.4604904632152589
1.204929929338256,0.49449906367041196,1.132004568189193,0.5059037238873751
1.1556055750837375,0.5111189138576779,1.1535036498909101,0.48047229791099
1.1132872015628474,0.538623595505618,1.1275713783735366,0.5077202543142597
1.0616804896975949,0.5684691011235955,1.146617246583632,0.4950045413260672
0.9981123379846749,0.5965589887640449,1.1442094349406395,0.49227974568574023
0.9094858320520611,0.6473548689138576,1.1693012729544296,0.5049954586739328
0.8464453382668703,0.669124531835206,1.2413939764887283,0.4895549500454133
0.7577560724348723,0.7107911985018727,1.296108142123452,0.46684831970935514
0.6763314859041673,0.7476591760299626,1.3790343035144441,0.4695731153496821
0.5983467730257507,0.7840589887640449,1.4288017410348481,0.47956403269754766
0.5257496273752009,0.8101591760299626,1.5454518391694079,0.47774750227066304
