train_CrossEntropy(label),train_acc(label),eval_CrossEntropy(label),eval_acc(label)
1.4238643100003847,0.37429775280898875,1.2660306958476595,0.40962761126248864
1.3040572279289868,0.4383192883895131,1.1786691761363322,0.47956403269754766
1.2572898045042704,0.46172752808988765,1.191360732406838,0.46139872842870117
1.2301445982596848,0.47237827715355807,1.1582490987500529,0.4750227066303361
1.1967805246735332,0.49449906367041196,1.1662091406554551,0.4841053587647593
1.1585541653136413,0.5162687265917603,1.1256189184985737,0.5022706630336058
1.1185183967864805,0.535814606741573,1.1647179950701985,0.48864668483197093
1.095220044897067,0.5499765917602997,1.1234365503534633,0.5113533151680291
1.0580877875037185,0.5662453183520599,1.1518119298036698,0.5004541326067211
1.0307506265934934,0.5780664794007491,1.145991209742159,0.4986376021798365
0.9924215593615945,0.601123595505618,1.1319564328639753,0.5040871934604905
0.9435962987470716,0.6226591760299626,1.224159079828011,0.47593097184377836
0.9114689901994353,0.6409176029962547,1.2005293231785676,0.4950045413260672
0.8624498261145773,0.6670177902621723,1.2025621947540575,0.4877384196185286
0.8087121429696177,0.6970973782771536,1.251521300013557,0.4822888283378747
0.7434770177861445,0.7229634831460674,1.2348457083281985,0.49318801089918257
0.6870587323652755,0.742626404494382,1.3299873522690056,0.49227974568574023
0.6671045215029534,0.7536282771535581,1.349444760721884,0.49318801089918257
0.6146844502238467,0.7743445692883895,1.456952750953515,0.46684831970935514
0.5747782839479602,0.7937734082397003,1.4630678959265284,0.47593097184377836
