train_CrossEntropy(label),train_acc(label),eval_CrossEntropy(label),eval_acc(label)
1.3959670830308721,0.38342696629213485,1.257572428190524,0.44323342415985467
1.266423426317365,0.44897003745318353,1.1511719990166396,0.4695731153496821
1.2090552820918266,0.4776451310861423,1.155515733466811,0.48319709355131696
1.1717489846190263,0.4987125468164794,1.1348906681279938,0.48319709355131696
1.1281064763274533,0.525749063670412,1.1226269995267557,0.5040871934604905
1.0873892800638292,0.5537219101123596,1.14723595627647,0.4986376021798365
1.0205238263928489,0.5886001872659176,1.191155601154123,0.47774750227066304
0.9511371897847465,0.6154026217228464,1.1938371397385696,0.4659400544959128
0.8664960067035553,0.669124531835206,1.2212374946618492,0.47774750227066304
0.7876188351532046,0.6979166666666666,1.289267314606423,0.4677565849227975
0.6933542788028717,0.7363061797752809,1.2822754784782402,0.47411444141689374
0.6158791926134838,0.7670880149812734,1.411892146332279,0.4822888283378747
0.539194270996342,0.7936563670411985,1.4856174882166393,0.48501362397820164
0.46165635378173225,0.8251404494382022,1.7137124850249745,0.4641235240690282
0.43772748930289057,0.837312734082397,1.8343070820176959,0.444141689373297
0.39655622606922625,0.8506554307116105,1.679461356621239,0.485921889191644
0.35302157739128515,0.8618913857677902,1.9637177945482633,0.4750227066303361
0.32457476793631407,0.8758192883895131,2.061575828087969,0.47593097184377836
0.3048191452782587,0.8732443820224719,2.116524079190288,0.4868301544050863
0.289355425286187,0.8874063670411985,2.1236321304626187,0.4768392370572207
